"CELL_SEQ","ROW_SEQ","COL_SEQ","UPLOAD_SEQ","CELL_VALUE","BG_COLOR"
407,65,121,44,,#0A0A14
408,65,122,44,"04 '24",#0070C0
409,65,123,44,"05 '24",#0070C0
410,65,124,44,,#0A0A14
411,65,125,44,,#0A0A14
412,65,126,44,,#0A0A14
413,65,127,44,,#0A0A14
414,65,128,44,,#0A0A14
415,65,129,44,,#0A0A14
416,65,130,44,,#0A0A14
417,66,109,44,,#0A0A14
418,66,110,44,"05 '24",#0070C0
419,66,111,44,"07 '25",#FF6600
420,66,112,44,"07 '25",#FF6600
421,66,113,44,,#0A0A14
422,66,114,44,,#0A0A14
423,66,115,44,,#0A0A14
424,66,116,44,,#0A0A14
425,66,117,44,"06 '24",#0070C0
426,66,118,44,"06 '24",#0070C0
427,66,119,44,,#0A0A14
428,66,120,44,,#0A0A14
429,66,121,44,,#0A0A14
430,66,122,44,,#0A0A14
431,66,123,44,,#0A0A14
432,66,124,44,"09 '24",#0070C0
433,66,125,44,,#0A0A14
434,66,126,44,,#0A0A14
435,66,127,44,,#0A0A14
436,66,128,44,,#0A0A14
437,66,129,44,,#0A0A14
438,66,130,44,,#0A0A14
439,67,109,44,,#0A0A14
440,67,110,44,,#0A0A14
441,67,111,44,,#0A0A14
442,67,112,44,,#0A0A14
443,67,113,44,,#0A0A14
444,67,114,44,"10 '24",#0070C0
445,67,115,44,"11 '25",#FF6600
446,67,116,44,,#0A0A14
447,67,117,44,,#0A0A14
448,67,118,44,,#0A0A14
449,67,119,44,"10 '24",#0070C0
450,67,120,44,,#0A0A14
451,67,121,44,,#0A0A14
452,67,122,44,,#0A0A14
453,67,123,44,,#0A0A14
454,67,124,44,,#0A0A14
455,67,125,44,,#0A0A14
456,67,126,44,"12 '26",#7030A0
457,67,127,44,,#0A0A14
458,67,128,44,"08 '27",#FF0000
459,67,129,44,,#0A0A14
460,67,130,44,,#0A0A14
461,68,109,44,"08 '23",#00B050
462,68,110,44,"10 '23",#00B050
463,68,111,44,,#0A0A14
464,68,112,44,,#0A0A14
465,68,113,44,,#0A0A14
466,68,114,44,,#0A0A14
467,68,115,44,,#0A0A14
468,68,116,44,,#0A0A14
469,68,117,44,,#0A0A14
470,68,118,44,,#0A0A14
471,68,119,44,,#0A0A14
472,68,120,44,,#0A0A14
473,68,121,44,,#0A0A14
474,68,122,44,,#0A0A14
475,68,123,44,,#0A0A14
476,68,124,44,,#0A0A14
477,68,125,44,,#0A0A14
478,68,126,44,,#0A0A14
479,68,127,44,,#0A0A14
480,68,128,44,,#0A0A14
481,68,129,44,,#0A0A14
482,68,130,44,,#0A0A14
483,69,109,44,"09 '23",#00B050
484,69,110,44,"11 '23",#00B050
485,69,111,44,,#0A0A14
486,69,112,44,,#0A0A14
487,69,113,44,,#0A0A14
488,69,114,44,,#0A0A14
489,69,115,44,,#0A0A14
490,69,116,44,,#0A0A14
491,69,117,44,,#0A0A14
492,69,118,44,,#0A0A14
493,69,119,44,,#0A0A14
494,69,120,44,,#0A0A14
495,69,121,44,,#0A0A14
496,69,122,44,,#0A0A14
497,69,123,44,,#0A0A14
498,69,124,44,,#0A0A14
499,69,125,44,,#0A0A14
500,69,126,44,,#0A0A14
501,69,127,44,,#0A0A14
502,69,128,44,,#0A0A14
503,69,129,44,,#0A0A14
504,69,130,44,,#0A0A14
505,70,109,44,,#0A0A14
506,70,110,44,"03 '24",#0070C0
507,70,111,44,"05 '25",#FF6600
508,70,112,44,"05 '25",#FF6600
509,70,113,44,,#0A0A14
510,70,114,44,,#0A0A14
511,70,115,44,,#0A0A14
512,70,116,44,,#0A0A14
513,70,117,44,,#0A0A14
514,70,118,44,,#0A0A14
515,70,119,44,,#0A0A14
516,70,120,44,,#0A0A14
517,70,121,44,,#0A0A14
518,70,122,44,,#0A0A14
519,70,123,44,,#0A0A14
520,70,124,44,,#0A0A14
521,70,125,44,,#0A0A14
522,70,126,44,,#0A0A14
523,70,127,44,,#0A0A14
524,70,128,44,,#0A0A14
525,70,129,44,,#0A0A14
526,70,130,44,,#0A0A14
527,71,109,44,,#0A0A14
528,71,110,44,,#0A0A14
529,71,111,44,,#0A0A14
530,71,112,44,,#0A0A14
531,71,113,44,,#0A0A14
532,71,114,44,,#0A0A14
533,71,115,44,,#0A0A14
534,71,116,44,,#0A0A14
535,71,117,44,,#0A0A14
536,71,118,44,,#0A0A14
537,71,119,44,,#0A0A14
538,71,120,44,"07 '26",#7030A0
539,71,121,44,,#0A0A14
540,71,122,44,,#0A0A14
541,71,123,44,,#0A0A14
542,71,124,44,,#0A0A14
543,71,125,44,,#0A0A14
544,71,126,44,,#0A0A14
545,71,127,44,,#0A0A14
546,71,128,44,,#0A0A14
547,71,129,44,"09 '27",#FF0000
548,71,130,44,"10 '27",#FF0000
549,72,109,44,,#0A0A14
550,72,110,44,,#0A0A14
551,72,111,44,,#0A0A14
552,72,112,44,,#0A0A14
553,72,113,44,,#0A0A14
554,72,114,44,,#0A0A14
555,72,115,44,,#0A0A14
556,72,116,44,,#0A0A14
557,72,117,44,,#0A0A14
558,72,118,44,,#0A0A14
559,72,119,44,,#0A0A14
560,72,120,44,,#0A0A14
561,72,121,44,,#0A0A14
562,72,122,44,,#0A0A14
563,72,123,44,,#0A0A14
564,72,124,44,,#0A0A14
565,72,125,44,,#0A0A14
566,72,126,44,,#0A0A14
567,72,127,44,,#0A0A14
568,72,128,44,,#0A0A14
569,72,129,44,"11 '27",#FF0000
570,72,130,44,"12 '27",#FF0000
571,73,142,45,,#E8E8E8
572,73,131,45,VP,#00B050
573,73,132,45,,#E8E8E8
574,73,133,45,,#E8E8E8
575,73,134,45,,#E8E8E8
576,73,135,45,,#E8E8E8
577,73,136,45,,#E8E8E8
578,73,137,45,,#E8E8E8
579,73,138,45,,#E8E8E8
580,73,139,45,,#E8E8E8
581,73,140,45,,#E8E8E8
582,73,141,45,,#E8E8E8
583,74,142,45,,#E8E8E8
584,74,131,45,,#E8E8E8
585,74,132,45,,#E8E8E8
586,74,133,45,,#E8E8E8
587,74,134,45,,#E8E8E8
588,74,135,45,,#E8E8E8
589,74,136,45,,#E8E8E8
590,74,137,45,,#E8E8E8
591,74,138,45,,#E8E8E8
592,74,139,45,VL,#FF6600
593,74,140,45,,#E8E8E8
594,74,141,45,,#E8E8E8
595,75,142,45,,#E8E8E8
596,75,131,45,,#E8E8E8
597,75,132,45,,#E8E8E8
598,75,133,45,,#E8E8E8
599,75,134,45,,#E8E8E8
600,75,135,45,,#E8E8E8
601,75,136,45,,#E8E8E8
602,75,137,45,,#E8E8E8
603,75,138,45,,#E8E8E8
604,75,139,45,,#E8E8E8
605,75,140,45,VH,#0070C0
606,75,141,45,,#E8E8E8
607,76,142,45,,#E8E8E8
608,76,131,45,,#E8E8E8
609,76,132,45,,#E8E8E8
610,76,133,45,,#E8E8E8
611,76,134,45,,#E8E8E8
612,76,135,45,,#E8E8E8
613,76,136,45,,#E8E8E8
614,76,137,45,,#E8E8E8
615,76,138,45,,#E8E8E8
616,76,139,45,,#E8E8E8
617,76,140,45,,#E8E8E8
618,76,141,45,VH,#0070C0
619,77,142,45,VH,#0070C0
620,77,131,45,,#E8E8E8
621,77,132,45,,#E8E8E8
622,77,133,45,,#E8E8E8
623,77,134,45,,#E8E8E8
624,77,135,45,,#E8E8E8
625,77,136,45,,#E8E8E8
626,77,137,45,,#E8E8E8
627,77,138,45,,#E8E8E8
628,77,139,45,,#E8E8E8
629,77,140,45,,#E8E8E8
630,77,141,45,,#E8E8E8
